Num#Titre#Auteur#Editeur#Année parution#Genre#Possession#exemplaires#Lu#Collection#Tome#Nb de Tomes#Appréciation#Notes perso.#à acheter#Prêté#Prêté à#Date du prêt#Date Acquisition#Prix#Mots clés#N° ISBN#Nb pages
1#La Séquence fondatrice, tome 1 : Dragons d'un crépuscule d'automne#Margaret Weis & Tracy Hickman#Fleuve noir#1996#Fantasy#Oui#1#Oui#Lancedragon#1##Passionnant##Non#Non###26/03/2014 00:00:00###9782265058637#379
2#La Séquence fondatrice, tome 2 : Dragons d'une nuit d'hivers#Margaret Weis & Tracy Hickman#Fleuve noir#1996#Fantasy#Oui#1#Oui#Lancedragon#2##Passionnant##Non#Non###26/03/2014 00:00:00###9782265076242#374
3#La Séquence fondatrice, tome 3 : Dragons d'une aube de printemps#Margaret Weis & Tracy Hickman#Fleuve noir#1996#Fantasy#Oui#1#Oui#Lancedragon#3##Passionnant##Non#Non###26/03/2014 00:00:00###9782265076655#377
4#Le temps des jumeaux : Série : La trilogie des légendes#Margaret Weis & Tracy Hickman#Fleuve noir#1996#Fantasy#Oui#1#Oui#Lancedragon#4##Passionnant##Non#Non###26/03/2014 00:00:00###9782265058668#376
5#La guerre des jumeaux : Série : La trilogie des légendes#Margaret Weis & Tracy Hickman#Fleuve noir#1996#Fantasy#Oui#1#Oui#Lancedragon#5##Passionnant##Non#Non###26/03/2014 00:00:00###9782265058675#380
6#L'épreuve des jumeaux : Série : La trilogie des légendes#Margaret Weis & Tracy Hickman#Fleuve noir#1996#Fantasy#Oui#1#Oui#Lancedragon#6##Passionnant##Non#Non###26/03/2014 00:00:00###9782265058682#376
7#La Trilogie des préludes : L'Ombre et la Lumière#Tonya-R Carter#Fleuve noir#1996#Fantasy#Oui#1#Oui#Lancedragon#7##Très bien##Non#Non###26/03/2014 00:00:00###9782265058699#246
8#Kendermore#Mary Kirchoff#Fleuve noir#1996#Fantasy#Oui#1#Oui#Lancedragon#8##Très bien##Non#Non###26/03/2014 00:00:00###9782265076396#244
9#Les frères Majere : Série : La trilogie des préludes#Kevin Stein#Fleuve noir#1997#Fantasy#Oui#1#Oui#Lancedragon#9##Très bien##Non#Non###26/03/2014 00:00:00###9782265058712#247
10#Rivebise, l'homme des plaines : Série : Le retour des préludes#Tonya-R Carter#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#10##Très bien##Non#Non###26/03/2014 00:00:00###9782265062078#249
11#Sa majesté Forgefeu : Série : Le retour des préludes#Mary Kirchoff#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#11##Très bien##Non#Non###26/03/2014 00:00:00###9782265062085#247
12#Tanis, les années secrètes#Barbara Siegel#Fleuve noir#1997#Fantasy#Oui#1#Oui#Lancedragon#12##Très bien##Non#Non###26/03/2014 00:00:00###9782265074286#245
13#Les âmes soeurs#Anthony Mark#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#13##Très bien##Non#Non###26/03/2014 00:00:00###9782265062047#246
14#L'eternel voyageur#Winter Steve#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#14##Très bien##Non#Non###26/03/2014 00:00:00###9782265062054#244
15#Coeur sombre#Tina Daniell#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#15##Très bien##Non#Non###26/03/2014 00:00:00###9782265062061#244
16#La séquence des Rencontres Tome 4 : La règle et la mesure#Michael Williams#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#16##Très bien##Non#Non###26/03/2014 00:00:00###9782265064591#245
17#Pierre et l'acier#Porath Ellen#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#17##Très bien##Non#Non###26/03/2014 00:00:00###9782265064584#246
18#Les compagnons#Tina Daniell#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#18##Très bien##Non#Non###26/03/2014 00:00:00###9782265064577#247
19#La séquence des Agresseurs Tome 1 : Devant le masque#Michael Williams#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#19##Très bien##Non#Non###26/03/2014 00:00:00###9782265064560#249
20#La séquence des Agresseurs Tome 2 : L'Aile noire#Mary Kirchoff#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#20##Très bien##Non#Non###26/03/2014 00:00:00###9782265064553#246
21#La séquence des Agresseurs Tome 3 : L'Empereur d'Ansalonie#Douglas Niles#Fleuve noir#1998#Fantasy#Oui#1#Oui#Lancedragon#21##Très bien##Non#Non###26/03/2014 00:00:00###9782265064546#247
22#La séquence des Contes Tome 1 : Les sortilèges de Krynn#Margaret Weis & Tracy Hickman#Fleuve noir#1999#Fantasy#Oui#1#Oui#Lancedragon#22##Assez bien##Non#Non###26/03/2014 00:00:00###9782265067332#248
23#La séquence des Contes Tome 2 : Les petits peuples de Krynn#Margaret Weis & Tracy Hickman#Fleuve noir#1999#Fantasy#Oui#1#Oui#Lancedragon#23##Assez bien##Non#Non###26/03/2014 00:00:00###9782265067325#244
24#La séquence des agresseurs Tome 4 : Hederick le Théocrate#Ellen Dodge Severson#Fleuve noir#1999#Fantasy#Oui#1#Oui#Lancedragon#24##Très bien##Non#Non###26/03/2014 00:00:00###9782265065932#243
25#La séquence des agresseurs Tome 5 : Le seigneur Toede#Jeff Grubb#Fleuve noir#1999#Fantasy#Oui#1#Oui#Lancedragon#25##Très bien##Non#Non###26/03/2014 00:00:00###9782265065949#246
26#La séquence des agresseurs Tome 6 : La Reine des Ténèbres#Michael Williams#Fleuve noir#1999#Fantasy#Oui#1#Oui#Lancedragon#26##Très bien##Non#Non###26/03/2014 00:00:00###9782265065956#246
27#La trilogie des contes : Guerre et Amour sur Krynn#Margaret Weis & Tracy Hickman#Fleuve noir#1999#Fantasy#Oui#1#Oui#Lancedragon#27##Assez bien##Non#Non###26/03/2014 00:00:00###9782265068421#247
28#Le cinquieme age : L'Aube d'un nouvel âge#Jean Rabe#Fleuve noir#2000#Fantasy#Oui#1#Oui#Lancedragon#28##Très bien##Non#Non###26/03/2014 00:00:00###9782265065994#252
29#Le Premier fils#Tonya R. Carter#Fleuve noir#2000#Fantasy#Oui#1#Oui#Lancedragon#29##Très bien##Non#Non###26/03/2014 00:00:00###9782265065963#254
30#Les guerres fratricides#Douglas Niles#Fleuve noir#2000#Fantasy#Oui#1#Oui#Lancedragon#30##Très bien##Non#Non###26/03/2014 00:00:00###9782265065970#249
31#La terre de nos pères#Tonya-R Carter#Fleuve noir#2000#Fantasy#Oui#1#Oui#Lancedragon#31##Très bien##Non#Non###27/03/2014 00:00:00###9782265065987#252
32#La légende de Huma#Richard A Knaak#Fleuve noir#2000#Fantasy#Oui#1#Oui#Lancedragon#32##Très bien##Non#Non###27/03/2014 00:00:00###9782265081499#235
33#L'Epée des tempêtes : trilogie des héros, tome 2#Berberick#Fleuve noir#2000#Fantasy#Oui#1#Oui#Lancedragon#33##Très bien##Non#Non###27/03/2014 00:00:00###9782265068971#255
34#Le Nid du scorpion#Michael Williams#Fleuve noir#2000#Fantasy#Oui#1#Oui#Lancedragon#34##Très bien##Non#Non###27/03/2014 00:00:00###9782265068964#252
35#La sequence des heros : Kaz le minotaure#Richard Knaak#Fleuve noir#2001#Fantasy#Oui#1#Oui#Lancedragon#35##Très bien##Non#Non###27/03/2014 00:00:00###9782265071056#252
36#La Séquence des héros : Les portes de Thorbardin#Dan Parkinson#Fleuve noir#2001#Fantasy#Oui#1#Oui#Lancedragon#36##Très bien##Non#Non###27/03/2014 00:00:00###9782265071063#253
37#La sequence des heros : La tanière du mal#Michael Williams#Fleuve noir#2001#Fantasy#Oui#1#Oui#Lancedragon#37##Très bien##Non#Non###27/03/2014 00:00:00###9782265071070#250
38#Le Pacte de la forge, la séquence des nains#Dan Parkinson#Fleuve noir#2001#Fantasy#Oui#1#Oui#Lancedragon#38##Très bien##Non#Non###27/03/2014 00:00:00###9782265071025#252
39#La séquence des Nains Tome 2 : La hache et le marteau#Dan Parkinson#Fleuve noir#2001#Fantasy#Oui#1#Oui#Lancedragon#39##Très bien##Non#Non###27/03/2014 00:00:00###9782265071032#251
40#La séquence des Nains Tome 3 : Le parchemin du fourreau#Dan Parkinson#Fleuve noir#2001#Fantasy#Oui#1#Oui#Lancedragon#40##Très bien##Non#Non###27/03/2014 00:00:00###9782265071049#253
41#La Trilogie des Mystères Tome 2 : Crime à Tarsis#John-M Roberts#Fleuve noir#2001#Fantasy#Oui#1#Oui#Lancedragon#41##Très bien##Non#Non###27/03/2014 00:00:00###9782265070974#250
